ZIP Code	County Name	State Code	State Name	City Name	Source	Success	Error
10521	Westchester County	NY	New York	Croton-on-Hudson	googlemaps	Yes	
14261	Erie County	NY	New York		googlemaps	Yes	
14756	Chautauqua County	NY	New York	Maple Springs	googlemaps	Yes	
15123	Allegheny County	PA	Pennsylvania	West Mifflin	googlemaps	Yes	
16699	Cambria County	PA	Pennsylvania	Cresson	googlemaps	Yes	
17071	Perry County	PA	Pennsylvania	NEW GERMANTON	googlemaps	Yes	
17606	Lancaster County	PA	Pennsylvania	Lancaster	googlemaps	Yes	
20317		DC	District of Columbia	Washington	googlemaps	No	
22746	Rappahannock County	VA	Virginia	Viewtown	googlemaps	Yes	
23412	Accomack County	VA	Virginia	Modest Town	googlemaps	Yes	
25057	Fayette County	WV	West Virginia	Deep Water	googlemaps	Yes	
25152	Fayette County	WV	West Virginia	Page	googlemaps	Yes	
27695	Wake County	NC	North Carolina	Raleigh	googlemaps	Yes	
27972	Dare County	NC	North Carolina	Salvo	googlemaps	Yes	
28254	Mecklenburg County	NC	North Carolina	Charlotte	googlemaps	Yes	
28589	Carteret County	NC	North Carolina	Williston	googlemaps	Yes	
29724	Chester County	SC	South Carolina	Lando	googlemaps	Yes	
31084	Wilcox County	GA	Georgia	Seville	googlemaps	Yes	
31814	Stewart County	GA	Georgia	Louvale	googlemaps	Yes	
32026	Union County	FL	Florida	Raiford	googlemaps	Yes	
32072	Contagem	MG	State of Minas Gerais		googlemaps	Yes	
32157	Putnam County	FL	Florida	Lake Como	googlemaps	Yes	
32323	Franklin County	FL	Florida	Lanark Village	googlemaps	Yes	
34137	Collier County	FL	Florida	Copeland	googlemaps	Yes	
35004	St. Clair County	AL	Alabama	Moody	googlemaps	Yes	
35005	Jefferson County	AL	Alabama	Adamsville	googlemaps	Yes	
35006		AL	Alabama		googlemaps	No	
35007	Shelby County	AL	Alabama	Alabaster	googlemaps	Yes	
35010		AL	Alabama	ALEX CITY	googlemaps	No	
35011	Tallapoosa County	AL	Alabama	ALEX CITY	googlemaps	Yes	
35013	Blount County	AL	Alabama	Allgood	googlemaps	Yes	
35014		AL	Alabama		googlemaps	No	
35016		AL	Alabama	Arab	googlemaps	No	
35019		AL	Alabama	Baileyton	googlemaps	No	
35020	Jefferson County	AL	Alabama	Bessemer	googlemaps	Yes	
35021	Jefferson County	AL	Alabama	Bessemer	googlemaps	Yes	
35022		AL	Alabama	Helena	googlemaps	No	
35023	Jefferson County	AL	Alabama	Bessemer	googlemaps	Yes	
35031	Blount County	AL	Alabama	Blountsville	googlemaps	Yes	
35032	Talladega County	AL	Alabama	Bon Air	googlemaps	Yes	
35033		AL	Alabama	Bremen	googlemaps	No	
35034		AL	Alabama	Brent	googlemaps	No	
35035	Bibb County	AL	Alabama	Brierfield	googlemaps	Yes	
35036	Jefferson County	AL	Alabama	Cardiff	googlemaps	Yes	
35038	Walker County	AL	Alabama	Dora	googlemaps	Yes	
35040		AL	Alabama	Calera	googlemaps	No	
35042		AL	Alabama	Centreville	googlemaps	No	
35043	Shelby County	AL	Alabama	Chelsea	googlemaps	Yes	
35044	Talladega County	AL	Alabama	Childersburg	googlemaps	Yes	
35045	Chilton County	AL	Alabama	Clanton	googlemaps	Yes	
35046		AL	Alabama	Clanton	googlemaps	No	
35048	Jefferson County	AL	Alabama	Clay	googlemaps	Yes	
35049	Blount County	AL	Alabama	Cleveland	googlemaps	Yes	
35051	Shelby County	AL	Alabama	Columbiana	googlemaps	Yes	
35052	St. Clair County	AL	Alabama	Cook Springs	googlemaps	Yes	
35053		AL	Alabama	Crane Hill	googlemaps	No	
35054	St. Clair County	AL	Alabama		googlemaps	Yes	
35055	Cullman County	AL	Alabama	Cullman	googlemaps	Yes	
35056	Cullman County	AL	Alabama	Cullman	googlemaps	Yes	
35057	Cullman County	AL	Alabama	Cullman	googlemaps	Yes	
35058	Cullman County	AL	Alabama	Cullman	googlemaps	Yes	
35060	Jefferson County	AL	Alabama	Docena	googlemaps	Yes	
35061	Jefferson County	AL	Alabama		googlemaps	Yes	
35062		AL	Alabama	Dora	googlemaps	No	
35063		AL	Alabama	Empire	googlemaps	No	
35064	Jefferson County	AL	Alabama	Fairfield	googlemaps	Yes	
35068	Jefferson County	AL	Alabama	Fultondale	googlemaps	Yes	
35070	Cullman County	AL	Alabama	Garden City	googlemaps	Yes	
35071	Jefferson County	AL	Alabama	Gardendale	googlemaps	Yes	
35072		AL	Alabama	Goodwater	googlemaps	No	
35073	Jefferson County	AL	Alabama	Graysville	googlemaps	Yes	
35074	Bibb County	AL	Alabama	Green Pond	googlemaps	Yes	
35077	Cullman County	AL	Alabama	Hanceville	googlemaps	Yes	
35078		AL	Alabama	Harpersville	googlemaps	No	
35079		AL	Alabama	Hayden	googlemaps	No	
35080	Shelby County	AL	Alabama	Helena	googlemaps	Yes	
35082	Clay County	AL	Alabama	Hollins	googlemaps	Yes	
35083	Cullman County	AL	Alabama	Holly Pond	googlemaps	Yes	
35085	Chilton County	AL	Alabama	Jemison	googlemaps	Yes	
35087		AL	Alabama	Joppa	googlemaps	No	
35089		AL	Alabama	Kellyton	googlemaps	No	
35091	Jefferson County	AL	Alabama	Kimberly	googlemaps	Yes	
35094		AL	Alabama	Leeds	googlemaps	No	
35096		AL	Alabama	Lincoln	googlemaps	No	
35097	Blount County	AL	Alabama	Locust Fork	googlemaps	Yes	
35098		AL	Alabama	Logan	googlemaps	No	
35111		AL	Alabama	Lake View	googlemaps	No	
35112	St. Clair County	AL	Alabama	Margaret	googlemaps	Yes	
35114	Shelby County	AL	Alabama		googlemaps	Yes	
35115		AL	Alabama	Montevallo	googlemaps	No	
35116	Jefferson County	AL	Alabama	Morris	googlemaps	Yes	
35117	Jefferson County	AL	Alabama	Mount Olive	googlemaps	Yes	
35118	Jefferson County	AL	Alabama	Mulga	googlemaps	Yes	
35119	Jefferson County	AL	Alabama		googlemaps	Yes	
35120	St. Clair County	AL	Alabama		googlemaps	Yes	
35121		AL	Alabama	Oneonta	googlemaps	No	
35124	Shelby County	AL	Alabama	Indian Springs Village	googlemaps	Yes	
35125	St. Clair County	AL	Alabama	Pell City	googlemaps	Yes	
35126		AL	Alabama	Bradford	googlemaps	No	
35127	Jefferson County	AL	Alabama	Pleasant Grove	googlemaps	Yes	
35128		AL	Alabama	Pell City	googlemaps	No	
35130		AL	Alabama	West Jefferson	googlemaps	No	
35131		AL	Alabama	Ragland	googlemaps	No	
35133		AL	Alabama	Remlap	googlemaps	No	
35135		AL	Alabama	Riverside	googlemaps	No	
35136	Coosa County	AL	Alabama	Rockford	googlemaps	Yes	
35143		AL	Alabama	Shelby	googlemaps	No	
35146		AL	Alabama	Springville	googlemaps	No	
35147	Shelby County	AL	Alabama	Westover	googlemaps	Yes	
35148		AL	Alabama	Sumiton	googlemaps	No	
35149	Talladega County	AL	Alabama		googlemaps	Yes	
35150		AL	Alabama	Sylacauga	googlemaps	No	
35151		AL	Alabama	Sylacauga	googlemaps	No	
35160		AL	Alabama	Waldo	googlemaps	No	
35171	Chilton County	AL	Alabama	Thorsby	googlemaps	Yes	
35172		AL	Alabama	Trafford	googlemaps	No	
35173		AL	Alabama	Trussville	googlemaps	No	
35175		AL	Alabama	Union Grove	googlemaps	No	
35176	Shelby County	AL	Alabama	Vandiver	googlemaps	Yes	
35178		AL	Alabama	Vincent	googlemaps	No	
35179		AL	Alabama	Vinemont	googlemaps	No	
35180		AL	Alabama	Warrior	googlemaps	No	
35181	Jefferson County	AL	Alabama	Watson	googlemaps	Yes	
35183	Coosa County	AL	Alabama	Weogufka	googlemaps	Yes	
35184	Bibb County	AL	Alabama	West Blocton	googlemaps	Yes	
35185	Shelby County	AL	Alabama	Westover	googlemaps	Yes	
35186		AL	Alabama	Wilsonville	googlemaps	No	
35188		AL	Alabama	Woodstock	googlemaps	No	
35201	Jefferson County	AL	Alabama	Birmingham	googlemaps	Yes	
35202	Jefferson County	AL	Alabama	Birmingham	googlemaps	Yes	
35203	Jefferson County	AL	Alabama	Birmingham	googlemaps	Yes	
35204	Jefferson County	AL	Alabama	Birmingham	googlemaps	Yes	
35205	Jefferson County	AL	Alabama	Birmingham	googlemaps	Yes	
35206	Jefferson County	AL	Alabama	Birmingham	googlemaps	Yes	
35207	Jefferson County	AL	Alabama	Birmingham	googlemaps	Yes	
35208	Jefferson County	AL	Alabama	Birmingham	googlemaps	Yes	
35209	Jefferson County	AL	Alabama	Birmingham	googlemaps	Yes	
35210	Jefferson County	AL	Alabama	Irondale	googlemaps	Yes	
35211	Jefferson County	AL	Alabama	Birmingham	googlemaps	Yes	
35212	Jefferson County	AL	Alabama	Birmingham	googlemaps	Yes	
35213	Jefferson County	AL	Alabama	Birmingham	googlemaps	Yes	
35214	Jefferson County	AL	Alabama	Forestdale	googlemaps	Yes	
35215	Jefferson County	AL	Alabama	Birmingham	googlemaps	Yes	
35216		AL	Alabama	Hoover	googlemaps	No	
35217	Jefferson County	AL	Alabama	Birmingham	googlemaps	Yes	
35218	Jefferson County	AL	Alabama	Birmingham	googlemaps	Yes	
35219	Jefferson County	AL	Alabama	Birmingham	googlemaps	Yes	
35220	Jefferson County	AL	Alabama	Birmingham	googlemaps	Yes	
35221	Jefferson County	AL	Alabama	Birmingham	googlemaps	Yes	
35222	Jefferson County	AL	Alabama	Birmingham	googlemaps	Yes	
35223	Jefferson County	AL	Alabama	Birmingham	googlemaps	Yes	
35224	Jefferson County	AL	Alabama	Birmingham	googlemaps	Yes	
35226	Jefferson County	AL	Alabama		googlemaps	Yes	
35228	Jefferson County	AL	Alabama	Midfield	googlemaps	Yes	
35229	Jefferson County	AL	Alabama	Birmingham	googlemaps	Yes	
35231	Jefferson County	AL	Alabama	Birmingham	googlemaps	Yes	
35232	Jefferson County	AL	Alabama	Birmingham	googlemaps	Yes	
35233	Jefferson County	AL	Alabama	Birmingham	googlemaps	Yes	
35234	Jefferson County	AL	Alabama	Birmingham	googlemaps	Yes	
35235	Jefferson County	AL	Alabama	Birmingham	googlemaps	Yes	
35236	Jefferson County	AL	Alabama	Hoover	googlemaps	Yes	
35238	Shelby County	AL	Alabama	Birmingham	googlemaps	Yes	
35242		AL	Alabama	Birmingham	googlemaps	No	
35243		AL	Alabama	Birmingham	googlemaps	No	
35244		AL	Alabama		googlemaps	No	
35249	Jefferson County	AL	Alabama	Birmingham	googlemaps	Yes	
35253	Jefferson County	AL	Alabama	Birmingham	googlemaps	Yes	
35254	Jefferson County	AL	Alabama	Birmingham	googlemaps	Yes	
35255	Jefferson County	AL	Alabama	Birmingham	googlemaps	Yes	
35259	Jefferson County	AL	Alabama	Birmingham	googlemaps	Yes	
35260	Jefferson County	AL	Alabama	Birmingham	googlemaps	Yes	
35261	Jefferson County	AL	Alabama	Birmingham	googlemaps	Yes	
35266	Jefferson County	AL	Alabama	Birmingham	googlemaps	Yes	
35285	Jefferson County	AL	Alabama	Birmingham	googlemaps	Yes	
35293	Jefferson County	AL	Alabama	Birmingham	googlemaps	Yes	
35294	Jefferson County	AL	Alabama	Birmingham	googlemaps	Yes	
35295	Jefferson County	AL	Alabama	Birmingham	googlemaps	Yes	
35401	Tuscaloosa County	AL	Alabama	Tuscaloosa	googlemaps	Yes	
35402	Tuscaloosa County	AL	Alabama	Tuscaloosa	googlemaps	Yes	
35403	Tuscaloosa County	AL	Alabama	Tuscaloosa	googlemaps	Yes	
35404	Tuscaloosa County	AL	Alabama	Tuscaloosa	googlemaps	Yes	
35405	Tuscaloosa County	AL	Alabama	Tuscaloosa	googlemaps	Yes	
35406	Tuscaloosa County	AL	Alabama	Tuscaloosa	googlemaps	Yes	
35407	Tuscaloosa County	AL	Alabama	Tuscaloosa	googlemaps	Yes	
35441		AL	Alabama	Akron	googlemaps	No	
35442		AL	Alabama	Memphis	googlemaps	No	
35443		AL	Alabama	Boligee	googlemaps	No	
35444		AL	Alabama	Brookwood	googlemaps	No	
35446	Tuscaloosa County	AL	Alabama	Buhl	googlemaps	Yes	
35447	Pickens County	AL	Alabama	Carrollton	googlemaps	Yes	
35449	Tuscaloosa County	AL	Alabama	Coaling	googlemaps	Yes	
35452	Tuscaloosa County	AL	Alabama	Coker	googlemaps	Yes	
35453	Tuscaloosa County	AL	Alabama	Cottondale	googlemaps	Yes	
35456		AL	Alabama	Duncanville	googlemaps	No	
35457	Tuscaloosa County	AL	Alabama	Echola	googlemaps	Yes	
35458	Tuscaloosa County	AL	Alabama	Elrod	googlemaps	Yes	
35459	Sumter County	AL	Alabama	Emelle	googlemaps	Yes	
35460	Sumter County	AL	Alabama	Epes	googlemaps	Yes	
35461		AL	Alabama	Ethelsville	googlemaps	No	
35463		AL	Alabama	Fosters	googlemaps	No	
35464		AL	Alabama	Gainesville	googlemaps	No	
35466		AL	Alabama	Gordo	googlemaps	No	
35469		AL	Alabama	Knoxville	googlemaps	No	
35470		AL	Alabama	Coatopa	googlemaps	No	
35473	Tuscaloosa County	AL	Alabama	Northport	googlemaps	Yes	
35474		AL	Alabama	Havana	googlemaps	No	
35475	Tuscaloosa County	AL	Alabama	Northport	googlemaps	Yes	
35476	Tuscaloosa County	AL	Alabama	Northport	googlemaps	Yes	
35477	Sumter County	AL	Alabama	Panola	googlemaps	Yes	
35480		AL	Alabama	Ralph	googlemaps	No	
35481	Pickens County	AL	Alabama	Reform	googlemaps	Yes	
35486	Tuscaloosa County	AL	Alabama	Tuscaloosa	googlemaps	Yes	
35487	Tuscaloosa County	AL	Alabama	Tuscaloosa	googlemaps	Yes	
35490		AL	Alabama	Vance	googlemaps	No	
35491	Greene County	AL	Alabama	West Greene	googlemaps	Yes	
35501	Walker County	AL	Alabama	Jasper	googlemaps	Yes	
35503		AL	Alabama	Jasper	googlemaps	No	
35504	Walker County	AL	Alabama	Jasper	googlemaps	Yes	
35540		AL	Alabama	Arley	googlemaps	No	
35542	Fayette County	AL	Alabama	Bankston	googlemaps	Yes	
35543	Marion County	AL	Alabama	Bear Creek	googlemaps	Yes	
35544		AL	Alabama	Beaverton	googlemaps	No	
35546		AL	Alabama	Berry	googlemaps	No	
